CAMPUS,PROGRAM,DEGREE,CONCENTRATION,PROGRAM_NAME,CIP_CODE,CIP_2DIGIT_CATEGORY
University of Hawaii at Manoa,Trop Agriculture & Environment,Bachelor of Science,Environmental Soil Science,Trop Agriculture & Environment (Bachelor of Science - Environmental Soil Science),010308,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
University of Hawaii at Manoa,Trop Agriculture & Environment,Bachelor of Science,Plant Sciences,Trop Agriculture & Environment (Bachelor of Science - Plant Sciences),010308,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
University of Hawaii at Hilo,Agriculture,Subject Certificate,Wildlife Science,Agriculture (Subject Certificate - Wildlife Science),010000,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
Leeward Community College,Community Food Security,Academic Subject Certificate,,Community Food Security (Academic Subject Certificate),010401,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
University of Hawaii at Hilo,Agriculture,Subject Certificate,Unmanned Aircraft Systems,Agriculture (Subject Certificate - Unmanned Aircraft Systems),010000,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
University of Hawaii at Manoa,Tropical Plant & Soil Sciences,Bachelor of Science,,Tropical Plant & Soil Sciences (Bachelor of Science),011299,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
University of Hawaii at Manoa,Natural Res & Environmentl Mgt,Doctor of Philosophy,,Natural Res & Environmentl Mgt (Doctor of Philosophy),030201,NATURAL RESOURCES AND CONSERVATION
University of Hawaii at Manoa,Natural Res & Environmentl Mgt,Master of Environmental Mgmt,,Natural Res & Environmentl Mgt (Master of Environmental Mgmt),030201,NATURAL RESOURCES AND CONSERVATION
University of Hawaii at Manoa,Natural Res & Environmentl Mgt,Master of Environmental Mgmt,"Ecology, Evolutn, Conserv Biol","Natural Res & Environmentl Mgt (Master of Environmental Mgmt - Ecology, Evolutn, Conserv Biol)",030201,NATURAL RESOURCES AND CONSERVATION
University of Hawaii at Manoa,Global Environmental Science,Bachelor of Science,Environmental Health Science,Global Environmental Science (Bachelor of Science - Environmental Health Science),030104,NATURAL RESOURCES AND CONSERVATION
University of Hawaii at Manoa,Architecture,Doctor of Architecture,,Architecture (Doctor of Architecture),040902,ARCHITECTURE AND RELATED SERVICES
Hawaii Community College,Hawaiian Life Styles,Associate in Applied Science,Hula,Hawaiian Life Styles (Associate in Applied Science - Hula),050202,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
Leeward Community College,Philippine Studies,Academic Subject Certificate,,Philippine Studies (Academic Subject Certificate),050113,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
University of Hawaii at Manoa,"Women,Gender&Sexuality Studies",Subject Certificate,,"Women,Gender&Sexuality Studies (Subject Certificate)",050207,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
Kapiolani Community College,Hawaiian Studies,Academic Subject Certificate,Hawaiian Language,Hawaiian Studies (Academic Subject Certificate - Hawaiian Language),050202,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
Windward Community College,Hawaiian Studies,Academic Subject Certificate,Olelo Hawaii (Language),Hawaiian Studies (Academic Subject Certificate - Olelo Hawaii (Language)),050202,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
University of Hawaii at Hilo,Hawaiian Studies,Subject Certificate,Indigenous Lang Med Early Ed,Hawaiian Studies (Subject Certificate - Indigenous Lang Med Early Ed),050202,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
Kapiolani Community College,New Media Arts,Associate in Science,Animation,New Media Arts (Associate in Science - Animation),100399,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES
Kauai Community College,Creative Media,Certificate of Competence,Web Design,Creative Media (Certificate of Competence - Web Design),100304,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES
Windward Community College,Creative Media,Academic Subject Certificate,Documentary Filmmaking,Creative Media (Academic Subject Certificate - Documentary Filmmaking),100304,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES
UH Maui College,Creative Media,Associate in Science,Animation,Creative Media (Associate in Science - Animation),100304,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES
UH Maui College,Creative Media,Associate in Science,Creative Filmmaking,Creative Media (Associate in Science - Creative Filmmaking),100304,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES
University of Hawaii at West Oahu,Creative Media,Bachelor of Arts,Communication&New Media Tech,Creative Media (Bachelor of Arts - Communication&New Media Tech),100304,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES
UH Maui College,Creative Media,Associate in Science,Web Development,Creative Media (Associate in Science - Web Development),100304,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES
Kapiolani Community College,Information Technology,Associate in Science,,Information Technology (Associate in Science),110103,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES
Leeward Community College,Digital Media Production,Certificate of Competence,Digital Photography,Digital Media Production (Certificate of Competence - Digital Photography),110801,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES
Honolulu Community College,Comp Security&Network Tech,Advanced Prof Certificate-UHCC,,Comp Security&Network Tech (Advanced Prof Certificate-UHCC),110901,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES
Hawaii Community College,Information Technology,Certificate of Competence,Information Security Assurance,Information Technology (Certificate of Competence - Information Security Assurance),110103,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES
Leeward Community College,Information& Computer Sciences,Academic Subject Certificate,,Information& Computer Sciences (Academic Subject Certificate),110101,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES
Leeward Community College,Digital Media Production,Certificate of Achievement,,Digital Media Production (Certificate of Achievement),110801,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES
Leeward Community College,Information& Computer Sciences,Associate in Science,Mobile Developer Specialist,Information& Computer Sciences (Associate in Science - Mobile Developer Specialist),110101,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES
Honolulu Community College,Cosmetology,Certificate of Achievement,,Cosmetology (Certificate of Achievement),120401,PERSONAL AND CULINARY SERVICES
Kapiolani Community College,Culinary Arts,Associate in Science,Culinary Arts,Culinary Arts (Associate in Science - Culinary Arts),120500,PERSONAL AND CULINARY SERVICES
UH Maui College,Culinary Arts,Associate in Applied Science,Baking,Culinary Arts (Associate in Applied Science - Baking),120500,PERSONAL AND CULINARY SERVICES
UH Maui College,Culinary Arts,Associate in Applied Science,Culinary Arts,Culinary Arts (Associate in Applied Science - Culinary Arts),120500,PERSONAL AND CULINARY SERVICES
Hawaii Community College,Culinary Arts,Certificate of Competence,,Culinary Arts (Certificate of Competence),120500,PERSONAL AND CULINARY SERVICES
Kapiolani Community College,Culinary Arts,Associate in Science,Institutional Food Service Mgt,Culinary Arts (Associate in Science - Institutional Food Service Mgt),120500,PERSONAL AND CULINARY SERVICES
Leeward Community College,Culinary Arts,Associate in Science,,Culinary Arts (Associate in Science),120500,PERSONAL AND CULINARY SERVICES
University of Hawaii at Manoa,"Sec Education, Latin",Bachelor of Education,,"Sec Education, Latin (Bachelor of Education)",131205,EDUCATION
Kauai Community College,Early Childhood Education,Certificate of Achievement,,Early Childhood Education (Certificate of Achievement),131210,EDUCATION
University of Hawaii at Manoa,"Sec Education, CC Trade & Ind",Bachelor of Education,,"Sec Education, CC Trade & Ind (Bachelor of Education)",131205,EDUCATION
University of Hawaii at Manoa,"Sec Education, Eng Lang Teach",Bachelor of Education,,"Sec Education, Eng Lang Teach (Bachelor of Education)",131205,EDUCATION
University of Hawaii at Manoa,"Sec Education, General Science",Bachelor of Education,,"Sec Education, General Science (Bachelor of Education)",131205,EDUCATION
University of Hawaii at Manoa,Special Education,Master of Education,,Special Education (Master of Education),131001,EDUCATION
University of Hawaii at Manoa,"Sec Ed, Distibutive Ed",Bachelor of Education,,"Sec Ed, Distibutive Ed (Bachelor of Education)",131205,EDUCATION
University of Hawaii at Hilo,Indigenous Education,Graduate Certificate,,Indigenous Education (Graduate Certificate),130203,EDUCATION
University of Hawaii at Manoa,Educational Foundations,Master of Education,,Educational Foundations (Master of Education),130901,EDUCATION
University of Hawaii at Manoa,Program Evaluation,Graduate Certificate,,Program Evaluation (Graduate Certificate),130601,EDUCATION
Leeward Community College,Teaching,Associate in Science,,Teaching (Associate in Science),131501,EDUCATION
Leeward Community College,Technical Teacher Education,Certificate of Competence,Alt Cert for CTE Licensure,Technical Teacher Education (Certificate of Competence - Alt Cert for CTE Licensure),131319,EDUCATION
University of Hawaii at Manoa,Learning Design and Technology,Graduate Certificate,TeachTechK-12,Learning Design and Technology (Graduate Certificate - TeachTechK-12),130501,EDUCATION
University of Hawaii at Manoa,"Sec Education, Japanese",Bachelor of Education,,"Sec Education, Japanese (Bachelor of Education)",131205,EDUCATION
Honolulu Community College,Early Childhood Education,Certificate of Competence,Early Child Ed(Infant/Toddler),Early Childhood Education (Certificate of Competence - Early Child Ed(Infant/Toddler)),131210,EDUCATION
University of Hawaii at Manoa,Multiling Multicult Prof Prac,Graduate Certificate,,Multiling Multicult Prof Prac (Graduate Certificate),130299,EDUCATION
Kauai Community College,Early Childhood Education,Certificate of Competence,Practitioner I ECED,Early Childhood Education (Certificate of Competence - Practitioner I ECED),131210,EDUCATION
University of Hawaii at Manoa,Counseling,Master of Education,School Counseling,Counseling (Master of Education - School Counseling),131101,EDUCATION
Kapiolani Community College,Educational Paraprofessional,Certificate of Achievement,Teach English Spkrs Other Lang,Educational Paraprofessional (Certificate of Achievement - Teach English Spkrs Other Lang),131501,EDUCATION
University of Hawaii at Manoa,Music Education,Post-Baccalaureate Cert,,Music Education (Post-Baccalaureate Cert),131312,EDUCATION
University of Hawaii at Manoa,Bioengineering,Master of Science,,Bioengineering (Master of Science),140301,ENGINEERING
University of Hawaii at Manoa,Civil Engineering,Doctor of Philosophy,,Civil Engineering (Doctor of Philosophy),140801,ENGINEERING
Kauai Community College,Facilities Engineering Tech,Certificate of Competence,,Facilities Engineering Tech (Certificate of Competence),159999,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS
UH Maui College,Electronics & Comp Engin Tech,Certificate of Achievement,Information SecuritySpecialist,Electronics & Comp Engin Tech (Certificate of Achievement - Information SecuritySpecialist),151202,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS
Hawaii Community College,Architectural Eng & CAD Tech,Certificate of Competence,Sustain Lot Design & Site Prep,Architectural Eng & CAD Tech (Certificate of Competence - Sustain Lot Design & Site Prep),151303,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS
Honolulu Community College,Architectural Eng & CAD Tech,Certificate of Achievement,Construction Management,Architectural Eng & CAD Tech (Certificate of Achievement - Construction Management),151303,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS
Leeward Community College,Integrated Industrial Tech,Associate in Science,,Integrated Industrial Tech (Associate in Science),150406,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS
Leeward Community College,Integrated Industrial Tech,Certificate of Competence,,Integrated Industrial Tech (Certificate of Competence),150406,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS
Hawaii Community College,Engineering Tech,Certificate of Competence,Geospatial Remote Sensing Haw,Engineering Tech (Certificate of Competence - Geospatial Remote Sensing Haw),159999,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS
Kauai Community College,Electronics Technology,Certificate of Competence,Programming,Electronics Technology (Certificate of Competence - Programming),150303,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS
University of Hawaii at Manoa,Linguistics,Master of Arts,,Linguistics (Master of Arts),160102,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS"
University of Hawaii at Hilo,Indigenous Lang & Culture Educ,Master of Arts,,Indigenous Lang & Culture Educ (Master of Arts),161001,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS"
UH Maui College,Fashion Technology,Associate in Applied Science,,Fashion Technology (Associate in Applied Science),190902,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES
UH Maui College,Fashion Technology,Academic Subject Certificate,,Fashion Technology (Academic Subject Certificate),190902,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES
University of Hawaii at Hilo,English,Bachelor of Arts,English as a Second Language,English (Bachelor of Arts - English as a Second Language),230101,ENGLISH LANGUAGE AND LITERATURE/LETTERS
University of Hawaii at Manoa,English,Doctor of Philosophy,,English (Doctor of Philosophy),230101,ENGLISH LANGUAGE AND LITERATURE/LETTERS
University of Hawaii at Hilo,General-Undeclared,Bachelor of Arts,,General-Undeclared (Bachelor of Arts),240101,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
Windward Community College,Liberal Arts,Associate in Arts,Exploratory Social Sciences,Liberal Arts (Associate in Arts - Exploratory Social Sciences),240101,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
Hawaii Community College,Liberal Arts,Associate in Arts,Exploratory Business,Liberal Arts (Associate in Arts - Exploratory Business),240101,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
Kapiolani Community College,Liberal Arts,Associate in Arts,English,Liberal Arts (Associate in Arts - English),240101,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
Hawaii Community College,Liberal Arts,Associate in Arts,Art,Liberal Arts (Associate in Arts - Art),240101,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
UH Maui College,Liberal Arts,Associate in Arts,Exploratory Arts & Humanities,Liberal Arts (Associate in Arts - Exploratory Arts & Humanities),240101,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
University of Hawaii at West Oahu,Humanities,Bachelor of Arts,Literature,Humanities (Bachelor of Arts - Literature),240103,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
University of Hawaii at West Oahu,Humanities,Bachelor of Arts,Literature & Film,Humanities (Bachelor of Arts - Literature & Film),240103,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
University of Hawaii at West Oahu,Humanities,Bachelor of Arts,History,Humanities (Bachelor of Arts - History),240103,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
University of Hawaii at West Oahu,Humanities,Bachelor of Arts,Creative Media,Humanities (Bachelor of Arts - Creative Media),240103,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
University of Hawaii at Manoa,General (Pre-Social Work),Bachelor of Arts,,General (Pre-Social Work) (Bachelor of Arts),240101,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
Kapiolani Community College,Liberal Arts,Associate in Arts,Deaf Studies/Deaf Education,Liberal Arts (Associate in Arts - Deaf Studies/Deaf Education),240101,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
